Student_ID,Gender,Parental_Education,Lunch_Type,Test_Prep,Extracurricular,Internet_Access,Study_Hours_Per_Day,Attendance_Percentage,Sleep_Hours,Math_Score,Reading_Score,Writing_Score,Average_Score,Result,Grade
1021,Male,High School,Free/Reduced,Completed,Yes,Yes,5.1,70.0,8.9,78.2,83.0,79.7,80.3,Pass,A
1022,Female,High School,Standard,Completed,No,Yes,1.2,78.9,6.6,58.7,76.9,64.5,66.7,Pass,C
1023,Male,Some College,Free/Reduced,None,Yes,No,0.0,80.3,5.5,52.2,58.9,51.3,54.1,Pass,D
1024,Male,Some College,Free/Reduced,None,No,No,0.0,94.8,6.4,51.1,73.1,65.6,63.3,Pass,C
1025,Female,High School,Free/Reduced,None,No,No,0.4,76.6,5.8,42.9,42.9,40.9,42.2,Pass,E
1026,Female,Bachelor's,Standard,Completed,No,No,4.1,,6.8,80.4,78.5,77.5,78.8,Pass,B
1027,Male,Bachelor's,Standard,None,Yes,No,5.2,69.1,7.1,81.5,85.0,88.8,85.1,Pass,A
1028,Female,Associate's,Standard,None,Yes,Yes,3.3,85.0,7.5,75.4,75.7,72.6,74.6,Pass,B
1029,Female,Some College,Standard,None,Yes,Yes,6.2,82.8,7.3,66.0,81.4,78.8,75.4,Pass,B
1030,Female,High School,Standard,None,Yes,Yes,9.8,84.8,7.9,91.0,90.0,72.7,84.6,Pass,A
1031,Male,Some College,Standard,Completed,No,Yes,5.3,100.0,5.8,100.0,100.0,96.3,98.8,Pass,A
1032,Female,Associate's,Standard,None,Yes,Yes,7.7,100.0,5.4,80.3,86.7,97.8,88.3,Pass,A
1033,Male,High School,Standard,Completed,Yes,No,5.9,83.5,7.1,75.9,62.2,66.2,68.1,Pass,C
1034,Male,Bachelor's,Standard,None,No,No,5.0,85.8,5.7,81.6,78.9,75.7,78.7,Pass,B
1035,Female,Associate's,Standard,Completed,No,Yes,2.8,84.3,6.6,78.5,83.2,81.9,81.2,Pass,A
1036,Male,Bachelor's,Standard,Completed,Yes,Yes,4.8,79.4,4.6,64.1,89.0,62.6,71.9,Pass,B
1037,Female,Bachelor's,Standard,Completed,No,Yes,1.9,84.2,6.4,76.1,76.0,73.0,75.0,Pass,B
1038,Male,Some College,Standard,None,No,Yes,4.2,87.6,7.0,81.3,82.7,63.7,75.9,Pass,B
1039,Male,Some College,Standard,Completed,Yes,Yes,4.4,89.9,3.2,70.6,83.7,72.5,75.6,Pass,B
1040,Female,Bachelor's,Free/Reduced,Completed,No,No,7.8,76.4,6.1,73.7,78.4,84.2,78.8,Pass,B
1041,Female,Associate's,Standard,None,No,Yes,5.0,88.9,7.7,83.9,71.7,75.6,77.0,Pass,B
1042,Male,High School,Standard,Completed,Yes,Yes,2.6,100.0,6.4,78.7,88.0,72.4,79.7,Pass,B
1043,Female,Bachelor's,Standard,Completed,No,Yes,7.2,86.0,5.7,98.5,100.0,98.7,99.1,Pass,A
1044,Female,High School,Standard,Completed,Yes,Yes,5.8,80.0,6.4,86.3,99.8,90.5,92.2,Pass,A
1045,Male,Some College,Standard,None,Yes,Yes,4.4,77.1,5.2,82.3,76.3,63.5,74.1,Pass,B
1046,Female,Associate's,Free/Reduced,Completed,Yes,Yes,3.8,80.5,6.8,79.5,89.3,80.2,83.0,Pass,A
1047,Female,High School,Standard,None,No,Yes,4.2,76.2,4.5,50.0,73.6,57.5,60.4,Pass,C
1048,Male,High School,Standard,None,No,No,3.6,89.9,9.1,70.6,82.5,70.7,74.6,Pass,B
1049,Male,Some College,Free/Reduced,None,No,Yes,3.5,82.5,7.4,61.5,68.8,78.3,69.5,Pass,C
1050,Female,High School,Free/Reduced,Completed,No,Yes,8.0,,5.6,66.8,78.2,77.8,74.3,Pass,B
1051,Male,Bachelor's,Standard,None,No,Yes,5.0,90.7,4.3,76.7,84.3,68.9,76.7,Pass,B
1052,Male,Bachelor's,Free/Reduced,Completed,No,No,10.5,100.0,6.5,100.0,100.0,100.0,100.0,Pass,A
1053,Female,Master's,Standard,Completed,No,Yes,6.0,97.7,4.3,92.5,93.4,84.5,90.1,Pass,A
1054,Female,Bachelor's,Standard,None,Yes,Yes,4.1,92.7,5.9,72.7,63.3,58.4,64.8,Pass,C
1055,Male,Bachelor's,Standard,None,Yes,Yes,3.7,89.6,5.3,95.9,88.6,95.3,93.3,Pass,A
1056,Male,Bachelor's,Standard,Completed,Yes,No,7.1,100.0,6.0,97.4,86.1,73.8,85.8,Pass,A
1057,Female,High School,Standard,Completed,No,No,3.4,92.7,8.2,92.3,78.6,75.0,81.9,Pass,A
1058,Male,High School,Standard,None,No,Yes,7.8,81.3,8.7,91.3,87.6,91.1,90.0,Pass,A
1059,Female,Bachelor's,Standard,Completed,Yes,Yes,0.5,80.3,7.5,73.4,80.3,70.6,74.8,Pass,B
1060,Female,Bachelor's,Free/Reduced,None,No,Yes,8.2,63.7,4.5,80.6,100.0,93.7,91.4,Pass,A
1061,Male,Bachelor's,Free/Reduced,Completed,Yes,Yes,7.3,97.7,4.2,95.3,98.3,99.2,97.6,Pass,A
1062,Female,Associate's,Standard,Completed,No,Yes,7.4,73.0,5.8,96.4,89.0,100.0,95.2,Pass,A
1063,Female,Master's,Standard,Completed,Yes,Yes,0.8,83.9,5.6,65.7,80.3,70.1,72.1,Pass,B
1064,Female,Some College,Standard,None,Yes,No,1.4,77.4,5.8,56.2,61.4,46.7,54.8,Pass,D
1065,Female,Bachelor's,Standard,None,No,Yes,5.0,98.6,6.1,72.4,76.3,76.0,74.9,Pass,B
1066,Male,Master's,Standard,None,No,Yes,5.6,83.8,7.4,72.0,71.3,81.8,75.0,Pass,B
1067,Female,Bachelor's,Standard,Completed,No,No,3.6,87.7,4.7,84.2,78.9,83.8,82.3,Pass,A
1068,Female,Some College,Standard,None,No,Yes,3.1,70.7,6.4,67.9,74.8,64.2,69.0,Pass,C
1069,Female,High School,Standard,None,Yes,No,6.6,90.8,6.1,89.9,85.0,79.7,84.9,Pass,A
1070,Male,Associate's,Standard,None,No,Yes,2.9,93.3,4.6,59.2,67.6,55.9,60.9,Pass,C
1071,Female,Associate's,Free/Reduced,Completed,No,Yes,7.2,87.3,8.0,85.7,100.0,86.2,90.6,Pass,A
1072,Female,High School,Free/Reduced,Completed,No,Yes,6.0,78.0,7.1,76.2,82.6,81.9,80.2,Pass,A
1073,Male,High School,Standard,None,No,No,3.3,83.1,6.7,89.5,84.6,67.7,80.6,Pass,A
1074,Male,Some College,Standard,Completed,No,No,4.8,84.1,4.3,72.1,86.5,79.7,79.4,Pass,B
1075,Female,Some College,Standard,None,Yes,Yes,0.4,93.6,6.8,45.0,52.2,52.2,49.8,Pass,E
1076,Male,Bachelor's,Standard,None,No,Yes,5.0,80.8,8.0,69.0,75.9,64.0,69.6,Pass,C
1077,Male,Some College,Standard,None,No,Yes,6.1,83.4,5.7,87.4,81.2,78.9,82.5,Pass,A
1078,Male,Associate's,Standard,Completed,No,Yes,5.1,97.4,7.2,86.0,92.8,76.3,85.0,Pass,A
1079,Female,High School,Standard,None,No,Yes,4.3,77.7,6.1,62.5,64.5,70.8,65.9,Pass,C
1080,Male,Bachelor's,Standard,Completed,No,Yes,4.7,88.6,8.9,100.0,100.0,93.8,97.9,Pass,A
1081,Male,Master's,Standard,Completed,Yes,Yes,4.9,90.2,9.2,94.5,94.8,83.5,90.9,Pass,A
1082,Male,Some College,Free/Reduced,None,Yes,Yes,4.5,91.5,7.3,77.1,75.9,78.1,77.0,Pass,B
1083,Female,High School,Standard,None,Yes,Yes,6.1,92.7,9.2,92.3,92.8,88.3,91.1,Pass,A
1084,Male,High School,Standard,Completed,Yes,No,4.7,85.2,7.9,93.2,98.9,100.0,97.4,Pass,A
1085,Female,Some College,Free/Reduced,Completed,No,Yes,8.8,86.1,6.4,100.0,100.0,100.0,100.0,Pass,A
1086,Male,Some College,Free/Reduced,Completed,Yes,Yes,2.1,81.6,6.3,43.0,58.6,56.6,52.7,Pass,D
1087,Male,Master's,Free/Reduced,None,No,Yes,2.5,96.3,,70.1,83.9,79.1,77.7,Pass,B
1088,Male,High School,Standard,None,No,No,6.6,86.5,5.8,74.1,83.9,81.3,79.8,Pass,B
1089,Female,Some College,Free/Reduced,Completed,Yes,Yes,1.0,74.5,6.9,68.2,56.9,69.7,64.9,Pass,C
1090,Male,High School,Standard,Completed,No,Yes,5.9,66.6,9.2,84.0,75.8,67.9,75.9,Pass,B
1091,Female,High School,Standard,None,No,No,3.6,92.5,8.8,60.6,71.1,57.3,63.0,Pass,C
1092,Female,High School,Free/Reduced,None,Yes,No,4.4,74.1,5.8,46.7,59.3,51.4,52.5,Pass,D
1093,Female,Some College,Free/Reduced,Completed,No,No,6.2,100.0,7.6,100.0,89.5,93.2,94.2,Pass,A
1094,Female,Associate's,Standard,None,No,Yes,3.7,95.9,7.3,79.4,75.1,82.8,79.1,Pass,B
1095,Female,High School,Standard,Completed,Yes,Yes,4.1,72.5,5.7,70.0,63.4,68.9,67.4,Pass,C
1096,Male,Master's,Free/Reduced,None,No,Yes,5.1,78.1,4.9,71.5,83.2,85.5,80.0,Pass,B
1097,Female,Some College,Free/Reduced,None,No,Yes,3.4,85.2,5.7,74.4,68.5,65.0,69.3,Pass,C
1098,Female,Associate's,Free/Reduced,Completed,Yes,No,4.9,100.0,7.0,82.5,82.5,75.4,80.1,Pass,A
1099,Female,Bachelor's,Standard,None,Yes,Yes,2.4,99.7,8.8,74.1,89.9,66.6,76.9,Pass,B
1100,Male,High School,Free/Reduced,Completed,No,Yes,4.7,92.8,6.9,94.7,98.1,86.3,93.0,Pass,A
1101,Male,High School,Free/Reduced,Completed,No,Yes,0.8,98.1,5.0,60.5,71.9,70.6,67.6,Pass,C
1102,Female,Some College,Free/Reduced,Completed,Yes,Yes,2.9,100.0,8.4,56.0,85.5,68.9,70.1,Pass,B
1103,Female,Associate's,Standard,None,Yes,Yes,6.4,97.6,6.7,88.1,100.0,98.1,95.4,Pass,A
1104,Male,High School,Standard,Completed,No,No,6.6,91.7,8.7,100.0,100.0,97.8,99.3,Pass,A
1105,Male,Some College,Standard,Completed,Yes,Yes,1.7,100.0,4.6,81.1,82.5,82.8,82.2,Pass,A
1106,Female,Master's,Free/Reduced,None,No,No,7.6,84.1,7.6,91.8,93.9,94.3,93.4,Pass,A
1107,Male,Bachelor's,Standard,None,No,Yes,4.1,87.3,4.7,77.9,89.2,84.5,83.9,Pass,A
1108,Male,High School,Free/Reduced,None,Yes,Yes,2.5,72.8,6.8,54.7,66.7,55.6,59.0,Pass,D
1109,Male,Bachelor's,Standard,None,No,Yes,7.2,97.2,7.1,89.0,89.2,80.2,86.2,Pass,A
1110,Male,Bachelor's,Free/Reduced,None,No,No,4.6,94.0,6.5,68.1,78.4,57.8,68.1,Pass,C
1111,Female,Master's,Free/Reduced,None,Yes,Yes,2.4,99.9,8.1,82.3,86.2,77.7,82.1,Pass,A
1112,Male,Bachelor's,Standard,Completed,No,Yes,7.1,89.7,5.3,100.0,99.9,100.0,100.0,Pass,A
1113,Female,Some College,Standard,None,No,Yes,1.1,87.6,7.6,67.7,79.0,70.1,72.3,Pass,B
1114,Female,Master's,Standard,None,Yes,No,3.2,93.6,9.2,81.7,82.6,64.8,76.4,Pass,B
1115,Female,High School,Free/Reduced,None,Yes,No,3.5,96.1,7.2,84.0,82.0,77.9,81.3,Pass,A
1116,Female,Some College,Standard,None,No,Yes,0.0,82.9,7.5,53.0,53.1,41.6,49.2,Pass,E
1117,Female,Bachelor's,Standard,Completed,No,Yes,0.8,98.3,4.5,78.1,80.7,69.8,76.2,Pass,B
1118,Male,Associate's,Standard,None,No,Yes,6.4,69.8,5.7,90.4,98.6,86.0,91.7,Pass,A
1119,Male,High School,Standard,Completed,No,Yes,3.5,92.4,4.7,69.0,91.0,74.9,78.3,Pass,B
1120,Female,Master's,Free/Reduced,None,No,No,0.0,80.3,6.1,63.9,60.0,66.7,63.5,Pass,C
1121,Female,Bachelor's,Free/Reduced,None,No,Yes,5.6,100.0,6.7,71.6,86.4,60.8,72.9,Pass,B
1122,Female,Associate's,Free/Reduced,Completed,Yes,Yes,6.0,100.0,8.3,93.5,91.6,93.6,92.9,Pass,A
1123,Female,Some College,Free/Reduced,Completed,Yes,No,4.0,75.0,7.1,62.7,67.4,57.4,62.5,Pass,C
1124,Male,High School,Standard,None,Yes,Yes,2.0,85.9,6.9,71.5,77.7,71.1,73.5,Pass,B
1125,Male,Bachelor's,Standard,None,No,No,6.3,92.8,5.3,79.4,86.5,81.5,82.4,Pass,A
1126,Female,Bachelor's,Standard,None,No,No,4.4,85.8,7.4,80.0,66.4,80.9,75.8,Pass,B
1127,Male,Bachelor's,Standard,None,No,Yes,4.8,87.6,8.6,87.3,89.1,95.9,90.7,Pass,A
1128,Male,Master's,Free/Reduced,None,No,No,0.1,96.7,6.1,60.9,82.2,63.9,69.0,Pass,C
1129,Male,Some College,Standard,None,No,No,3.7,87.8,9.3,77.2,75.6,69.8,74.2,Pass,B
1130,Male,High School,Free/Reduced,Completed,No,Yes,5.2,78.0,6.7,63.5,82.0,65.7,70.4,Pass,B
1131,Male,Associate's,Standard,None,No,Yes,4.2,78.9,5.7,76.3,83.0,70.5,76.6,Pass,B
1132,Female,Some College,Standard,Completed,No,Yes,3.8,99.2,5.5,99.7,78.2,75.2,84.4,Pass,A
1133,Female,High School,Free/Reduced,None,No,Yes,2.8,71.8,6.5,61.9,61.7,63.3,62.3,Pass,C
1134,Female,Associate's,Free/Reduced,None,Yes,Yes,2.2,79.1,9.6,77.1,59.8,62.9,66.6,Pass,C
1135,Male,Master's,Standard,Completed,Yes,Yes,6.5,85.8,6.0,77.8,83.5,62.8,74.7,Pass,B
1136,Male,Bachelor's,Free/Reduced,None,Yes,No,3.0,75.0,3.9,73.7,76.2,58.4,69.4,Pass,C
1137,Female,Associate's,Standard,Completed,Yes,Yes,0.0,100.0,5.1,52.5,57.5,52.9,54.3,Pass,D
1138,Female,Associate's,Standard,Completed,No,Yes,5.9,91.8,8.1,83.0,98.0,84.9,88.6,Pass,A
1139,Male,High School,Standard,Completed,Yes,Yes,2.8,77.5,7.1,64.3,86.3,76.4,75.7,Pass,B
1140,Female,High School,Free/Reduced,None,Yes,Yes,3.1,85.9,8.3,45.3,67.3,41.5,51.3,Pass,D
1141,Male,Bachelor's,Free/Reduced,None,No,Yes,8.1,98.5,6.4,87.2,96.2,90.7,91.4,Pass,A
1142,Male,Bachelor's,Free/Reduced,None,No,No,7.1,98.1,6.8,79.7,84.0,81.3,81.7,Pass,A
1143,Male,High School,Free/Reduced,None,No,No,4.7,73.5,8.1,70.0,56.1,53.7,59.9,Pass,D
1144,Male,High School,Standard,None,Yes,Yes,9.8,92.4,5.6,89.6,100.0,89.0,92.9,Pass,A
1145,Male,High School,Free/Reduced,None,Yes,Yes,5.5,83.2,7.8,84.1,89.3,73.4,82.3,Pass,A
1146,Female,High School,Standard,None,Yes,Yes,6.8,96.0,6.3,78.5,75.8,82.9,79.1,Pass,B
1147,Male,Bachelor's,Free/Reduced,Completed,No,Yes,5.8,77.3,5.7,97.9,86.3,91.5,91.9,Pass,A
1148,Male,High School,Free/Reduced,None,Yes,Yes,7.0,61.9,8.2,73.4,59.2,76.3,69.6,Pass,C
1149,Male,Some College,Standard,None,Yes,Yes,5.3,75.9,,60.3,62.0,40.1,54.2,Pass,D
1150,Female,High School,Standard,None,No,Yes,5.4,90.7,5.3,78.7,80.3,64.5,74.5,Pass,B
1151,Male,High School,Free/Reduced,Completed,No,Yes,5.0,78.9,7.0,99.8,100.0,88.5,96.1,Pass,A
1152,Male,Some College,Standard,None,No,Yes,9.0,79.9,7.8,89.5,97.1,89.2,91.9,Pass,A
1153,Male,Associate's,Standard,Completed,Yes,Yes,6.9,83.4,5.6,100.0,100.0,100.0,100.0,Pass,A
1154,Female,High School,Standard,None,No,No,2.8,,5.2,77.1,64.7,65.3,69.0,Pass,C
1155,Female,Bachelor's,Standard,Completed,Yes,Yes,6.8,91.1,7.0,98.2,100.0,100.0,99.4,Pass,A
1156,Male,Some College,Standard,None,No,Yes,2.7,90.6,7.2,54.3,61.5,46.7,54.2,Pass,D
1157,Female,Bachelor's,Standard,Completed,Yes,Yes,3.4,82.3,7.9,76.7,73.2,73.0,74.3,Pass,B
1158,Female,Bachelor's,Free/Reduced,Completed,Yes,Yes,3.9,66.9,5.4,77.8,77.9,78.2,78.0,Pass,B
1159,Male,Some College,Free/Reduced,Completed,No,Yes,5.8,79.6,6.1,86.0,88.8,75.6,83.5,Pass,A
1160,Female,Bachelor's,Standard,None,Yes,Yes,3.5,75.8,6.6,79.3,84.9,73.0,79.0,Pass,B
1161,Female,Bachelor's,Free/Reduced,None,No,Yes,5.4,99.5,5.0,100.0,98.0,100.0,99.3,Pass,A
1162,Female,Master's,Free/Reduced,None,Yes,Yes,1.8,83.7,6.7,65.2,79.5,60.2,68.3,Pass,C
1163,Male,High School,Standard,None,Yes,Yes,3.4,86.3,8.7,67.0,55.3,55.5,59.3,Pass,D
1164,Male,Associate's,Free/Reduced,Completed,No,Yes,5.7,78.3,4.8,95.0,94.3,96.7,95.3,Pass,A
1165,Female,Some College,Standard,Completed,No,Yes,3.3,86.7,6.1,76.3,80.3,72.8,76.5,Pass,B
1166,Male,High School,Standard,Completed,No,No,8.2,95.7,9.5,100.0,100.0,97.9,99.3,Pass,A
1167,Male,Some College,Standard,None,No,Yes,2.8,98.4,6.5,69.7,77.3,60.0,69.0,Pass,C
1168,Male,Bachelor's,Free/Reduced,Completed,No,Yes,6.4,98.4,8.1,100.0,100.0,100.0,100.0,Pass,A
1169,Female,Associate's,Free/Reduced,None,Yes,Yes,5.2,77.7,8.3,80.3,90.0,84.4,84.9,Pass,A
1170,Male,Bachelor's,Standard,None,No,Yes,2.9,76.1,7.7,70.5,76.3,73.6,73.5,Pass,B
1171,Female,High School,Standard,Completed,No,Yes,2.4,80.5,6.7,94.1,98.4,94.9,95.8,Pass,A
1172,Male,Associate's,Free/Reduced,None,No,Yes,6.9,93.7,8.7,85.1,89.2,100.0,91.4,Pass,A
1173,Female,Associate's,Standard,Completed,Yes,Yes,8.4,94.6,5.8,100.0,100.0,94.9,98.3,Pass,A
1174,Female,Bachelor's,Free/Reduced,Completed,Yes,Yes,3.3,100.0,7.0,78.2,83.0,90.4,83.9,Pass,A
1175,Female,High School,Free/Reduced,Completed,Yes,Yes,3.7,82.8,8.0,83.9,88.6,74.0,82.2,Pass,A
1176,Female,High School,Standard,Completed,No,Yes,6.0,,6.7,100.0,90.4,85.6,92.0,Pass,A
1177,Female,Some College,Standard,Completed,Yes,Yes,8.6,93.0,5.6,100.0,99.7,100.0,99.9,Pass,A
1178,Female,Master's,Standard,Completed,Yes,No,7.0,84.9,7.1,78.7,94.0,73.9,82.2,Pass,A
1179,Female,Some College,Free/Reduced,Completed,No,Yes,5.0,81.9,8.1,100.0,92.1,79.9,90.7,Pass,A
1180,Female,Associate's,Standard,Completed,No,Yes,8.3,100.0,6.4,100.0,100.0,100.0,100.0,Pass,A
1181,Female,High School,Standard,None,Yes,Yes,6.5,92.9,6.6,95.3,89.5,84.9,89.9,Pass,A
1182,Female,Associate's,Free/Reduced,None,No,Yes,8.5,90.1,7.3,69.5,77.8,84.8,77.4,Pass,B
1183,Male,High School,Standard,None,No,Yes,8.8,95.6,5.0,94.5,97.8,89.9,94.1,Pass,A
1184,Female,Bachelor's,Standard,Completed,Yes,Yes,6.6,56.4,7.4,67.0,77.0,62.5,68.9,Pass,C
1185,Male,High School,Standard,None,No,Yes,2.4,97.5,9.5,71.2,80.3,75.6,75.7,Pass,B
1186,Female,Bachelor's,Free/Reduced,None,No,No,2.8,77.0,8.1,55.1,63.6,69.2,62.7,Pass,C
1187,Male,Some College,Free/Reduced,None,Yes,No,5.8,97.5,6.6,82.8,85.9,81.9,83.5,Pass,A
1188,Female,Associate's,Standard,Completed,Yes,Yes,0.3,97.0,6.4,71.7,70.2,67.6,69.8,Pass,C
1189,Female,Master's,Free/Reduced,None,No,Yes,7.8,92.3,8.0,75.6,85.4,80.3,80.4,Pass,A
1190,Female,Some College,Standard,None,No,No,7.2,93.9,6.4,92.0,100.0,93.1,95.0,Pass,A
1191,Male,High School,Standard,None,Yes,Yes,0.0,82.0,8.7,37.5,64.0,52.1,51.2,Pass,D
1192,Male,Bachelor's,Standard,None,Yes,No,3.9,,6.1,72.2,83.5,75.2,77.0,Pass,B
1193,Male,Master's,Standard,None,No,Yes,4.3,94.1,6.7,76.1,79.9,66.3,74.1,Pass,B
1194,Male,Master's,Free/Reduced,None,No,Yes,1.5,100.0,5.9,50.5,65.5,67.5,61.2,Pass,C
1195,Female,High School,Standard,None,No,Yes,5.2,100.0,7.7,74.1,75.0,78.2,75.7,Pass,B
1196,Male,High School,Standard,None,No,Yes,4.3,85.1,9.5,59.3,66.1,57.3,60.9,Pass,C
1197,Female,Bachelor's,Free/Reduced,None,Yes,Yes,2.6,83.0,4.1,61.1,65.8,69.0,65.3,Pass,C
1198,Female,Bachelor's,Standard,Completed,No,No,4.6,87.9,4.7,84.1,83.3,85.3,84.2,Pass,A
1199,Female,Bachelor's,Free/Reduced,None,No,No,5.5,95.0,8.6,68.8,67.4,60.6,65.6,Pass,C
1200,Female,Bachelor's,Standard,None,Yes,Yes,3.0,92.4,6.8,86.1,87.5,66.5,80.0,Pass,B
1201,Male,Bachelor's,Free/Reduced,Completed,Yes,Yes,5.6,79.1,8.4,75.6,80.6,75.7,77.3,Pass,B
1202,Male,Some College,Free/Reduced,None,No,Yes,7.1,77.6,3.4,72.1,92.9,71.3,78.8,Pass,B
1203,Male,Bachelor's,Free/Reduced,None,Yes,Yes,5.6,84.9,9.6,75.8,72.3,64.2,70.8,Pass,B
1204,Male,Some College,Free/Reduced,None,No,Yes,3.4,80.8,6.7,68.1,67.2,73.3,69.5,Pass,C
1205,Male,High School,Standard,None,No,Yes,6.2,100.0,7.8,74.2,79.2,59.6,71.0,Pass,B
1206,Female,Associate's,Free/Reduced,None,No,Yes,4.7,85.0,10.0,88.8,93.7,78.1,86.8,Pass,A
1207,Female,High School,Free/Reduced,Completed,No,No,1.2,78.4,9.6,63.8,62.0,65.4,63.8,Pass,C
1208,Male,Bachelor's,Free/Reduced,None,No,Yes,5.8,88.8,4.7,77.7,94.3,82.6,84.9,Pass,A
1209,Female,Some College,Standard,None,No,No,6.1,83.5,6.6,85.3,89.1,78.3,84.2,Pass,A
1210,Male,Some College,Standard,None,No,Yes,6.5,85.1,6.7,81.7,77.2,71.9,76.9,Pass,B
1211,Male,Some College,Free/Reduced,None,No,Yes,3.5,73.4,6.0,57.9,58.4,59.3,58.5,Pass,D
1212,Female,Associate's,Standard,None,No,Yes,3.7,81.2,8.6,61.9,67.6,64.9,64.8,Pass,C
1213,Male,Master's,Standard,None,No,Yes,7.9,81.2,7.2,89.6,81.9,85.0,85.5,Pass,A
1214,Male,Associate's,Standard,Completed,No,No,2.6,84.9,4.9,88.2,80.7,76.4,81.8,Pass,A
1215,Male,Some College,Standard,None,Yes,No,0.0,83.4,6.3,58.1,60.6,48.8,55.8,Pass,D
1216,Male,Bachelor's,Standard,Completed,Yes,Yes,5.6,82.1,5.4,87.0,88.9,83.3,86.4,Pass,A
1217,Female,Some College,Standard,Completed,Yes,Yes,4.6,100.0,7.8,100.0,100.0,100.0,100.0,Pass,A
1218,Male,Some College,Standard,None,No,Yes,5.1,90.4,5.8,77.7,69.1,68.7,71.8,Pass,B
1219,Male,High School,Free/Reduced,None,No,Yes,3.1,86.4,,55.2,46.0,47.3,49.5,Pass,E
1220,Female,Bachelor's,Free/Reduced,None,No,No,5.1,86.6,7.1,74.3,74.9,67.4,72.2,Pass,B
1221,Male,Master's,Standard,None,Yes,Yes,7.7,86.1,6.8,73.7,71.2,83.5,76.1,Pass,B
1222,Female,High School,Standard,Completed,No,Yes,3.6,88.4,5.2,85.5,83.3,87.5,85.4,Pass,A
1223,Female,Associate's,Free/Reduced,None,No,No,0.9,81.7,5.9,55.1,56.4,58.8,56.8,Pass,D
1224,Female,Master's,Standard,None,No,Yes,6.0,96.5,6.9,100.0,100.0,97.5,99.2,Pass,A
1225,Male,High School,Free/Reduced,None,No,Yes,7.7,87.6,5.1,87.2,83.7,76.8,82.6,Pass,A
1226,Female,Associate's,Standard,None,No,Yes,4.0,91.0,6.3,64.1,65.9,75.3,68.4,Pass,C
1227,Male,Some College,Free/Reduced,None,Yes,No,2.7,88.6,6.8,68.8,70.7,69.9,69.8,Pass,C
1228,Female,Associate's,Standard,None,No,No,8.4,96.2,8.4,100.0,100.0,100.0,100.0,Pass,A
1229,Female,Associate's,Free/Reduced,None,Yes,Yes,5.2,94.8,7.0,85.2,73.7,74.0,77.6,Pass,B
1230,Female,Some College,Standard,None,No,No,0.0,86.1,7.5,39.1,52.0,59.8,50.3,Pass,D
1231,Male,Master's,Free/Reduced,Completed,No,No,4.2,76.2,7.3,80.6,83.4,68.6,77.5,Pass,B
1232,Male,High School,Standard,None,No,Yes,4.0,86.5,5.7,70.8,73.9,61.0,68.6,Pass,C
